Water Year,Interval Ending on Date,1,Rank,Interval Ending on Date,2,Rank,Interval Ending on Date,3,Rank,Interval Ending on Date,4,Rank,Interval Ending on Date,5,Rank,Interval Ending on Date,6,Rank,Interval Ending on Date,7,Rank,Interval Ending on Date,8,Rank,Interval Ending on Date,9,Rank,Interval Ending on Date,10,Rank,Interval Ending on Date,11,Rank,Interval Ending on Date,12,Rank,Interval Ending on Date,13,Rank,Interval Ending on Date,14,Rank,Interval Ending on Date,15,Rank,Interval Ending on Date,16,Rank,Interval Ending on Date,17,Rank,Interval Ending on Date,18,Rank,Interval Ending on Date,19,Rank,Interval Ending on Date,20,Rank,Interval Ending on Date,21,Rank,Interval Ending on Date,22,Rank,Interval Ending on Date,23,Rank,Interval Ending on Date,24,Rank,Interval Ending on Date,25,Rank,Interval Ending on Date,26,Rank,Interval Ending on Date,27,Rank,Interval Ending on Date,28,Rank,Interval Ending on Date,29,Rank,Interval Ending on Date,30,Rank,Interval Ending on Date,31,Rank,Interval Ending on Date,32,Rank,Interval Ending on Date,33,Rank,Interval Ending on Date,34,Rank,Interval Ending on Date,35,Rank,Interval Ending on Date,36,Rank,Interval Ending on Date,37,Rank,Interval Ending on Date,38,Rank,Interval Ending on Date,39,Rank,Interval Ending on Date,40,Rank,Interval Ending on Date,41,Rank,Interval Ending on Date,42,Rank,Interval Ending on Date,43,Rank,Interval Ending on Date,44,Rank,Interval Ending on Date,45,Rank,Interval Ending on Date,46,Rank,Interval Ending on Date,47,Rank,Interval Ending on Date,48,Rank,Interval Ending on Date,49,Rank,Interval Ending on Date,50,Rank,Interval Ending on Date,51,Rank,Interval Ending on Date,52,Rank,Interval Ending on Date,53,Rank,Interval Ending on Date,54,Rank,Interval Ending on Date,55,Rank,Interval Ending on Date,56,Rank,Interval Ending on Date,57,Rank,Interval Ending on Date,58,Rank,Interval Ending on Date,59,Rank,Interval Ending on Date,60,Rank,
1957,8/6/1958,2.01,32 ,8/7/1958,2.48,52 ,8/7/1958,2.48,103 ,8/7/1958,2.52,165 ,8/7/1958,2.52,249 ,8/8/1958,2.52,347 ,8/10/1958,2.55,456 ,10/23/1957,3.07,314 ,10/24/1957,3.56,223 ,10/24/1957,3.56,289 ,10/26/1957,3.56,363 ,10/24/1957,3.56,448 ,10/26/1957,3.56,553 ,10/29/1957,3.56,673 ,10/30/1957,3.62,769 ,10/31/1957,3.64,898 ,10/31/1957,3.64,1075 ,11/2/1957,3.64,1266 ,11/2/1957,3.64,1487 ,7/14/1958,3.8,1465 ,7/15/1958,4.08,1344 ,7/15/1958,4.19,1417 ,7/16/1958,4.2,1599 ,7/16/1958,4.2,1822 ,11/9/1957,4.36,1796 ,11/10/1957,4.36,2033 ,7/14/1958,4.42,2157 ,7/15/1958,4.7,1905 ,11/14/1957,5,1632 ,11/14/1957,5.8,929 ,11/15/1957,5.83,1028 ,11/16/1957,5.83,1162 ,11/15/1957,5.83,1306 ,11/18/1957,5.94,1340 ,11/19/1957,6.02,1385 ,8/7/1958,6.34,1169 ,8/7/1958,6.340001,1292 ,8/8/1958,6.340001,1439 ,8/10/1958,6.37,1542 ,8/11/1958,6.37,1698 ,8/11/1958,6.37,1858 ,8/12/1958,6.37,2021 ,8/6/1958,6.41,2127 ,8/7/1958,6.880001,1693 ,8/7/1958,6.99,1696 ,8/8/1958,6.99,1842 ,8/7/1958,6.99,2006 ,8/10/1958,7.02,2121 ,8/7/1958,7.11,2136 ,8/21/1958,7.300001,2044 ,8/7/1958,7.5,1998 ,8/8/1958,7.5,2139 ,8/9/1958,7.5,2289 ,8/10/1958,7.53,2409 ,8/10/1958,7.53,2564 ,8/7/1958,7.61,2622 ,8/7/1958,7.61,2798 ,8/21/1958,7.840001,2643 ,8/21/1958,7.950001,2648 ,8/7/1958,8.42,2152 ,,
1958,7/20/1959,1.85,47 ,7/20/1959,1.89,149 ,7/20/1959,2.33,136 ,7/21/1959,2.33,228 ,7/24/1959,2.43,276 ,7/23/1959,2.55,337 ,7/24/1959,2.91,266 ,7/24/1959,2.91,361 ,7/24/1959,2.91,478 ,7/29/1959,4.16,133 ,7/29/1959,4.2,165 ,7/29/1959,4.64,125 ,7/30/1959,4.64,158 ,7/31/1959,4.65,196 ,8/1/1959,4.65,242 ,8/1/1959,4.65,296 ,8/3/1959,4.65,363 ,8/4/1959,4.83,377 ,8/7/1959,5.71,177 ,8/8/1959,5.76,199 ,8/7/1959,6.19,169 ,8/8/1959,6.24,194 ,8/9/1959,6.24,233 ,8/10/1959,6.24,278 ,8/11/1959,6.24,325 ,8/11/1959,6.24,378 ,8/11/1959,6.24,436 ,8/7/1959,6.31,474 ,8/8/1959,6.36,511 ,8/16/1959,6.78,398 ,8/17/1959,6.79,460 ,8/18/1959,7.22,381 ,8/18/1959,7.22,437 ,8/19/1959,7.22,496 ,8/20/1959,7.22,553 ,8/22/1959,7.3,563 ,8/23/1959,7.3,621 ,8/23/1959,7.3,689 ,8/18/1959,7.34,759 ,8/18/1959,7.34,838 ,8/27/1959,7.4,894 ,8/28/1959,7.4,994 ,8/29/1959,7.510001,1016 ,8/30/1959,7.84,905 ,8/31/1959,7.84,1000 ,9/1/1959,7.84,1097 ,9/1/1959,7.84,1200 ,9/2/1959,7.84,1307 ,8/30/1959,7.840001,1408 ,9/5/1959,7.84,1519 ,8/30/1959,7.96,1529 ,8/30/1959,7.96,1641 ,9/1/1959,7.960001,1760 ,8/18/1959,8.04,1808 ,8/19/1959,8.040001,1923 ,8/18/1959,8.05,2054 ,8/18/1959,8.05,2192 ,8/18/1959,8.200001,2167 ,8/19/1959,8.2,2320 ,8/20/1959,8.200001,2470 ,,
1959,10/6/1959,2.38,19 ,10/6/1959,2.73,32 ,7/3/1960,3.13,38 ,7/4/1960,3.13,63 ,6/17/1960,3.95,34 ,6/17/1960,4.21,35 ,6/18/1960,4.21,51 ,6/17/1960,4.21,73 ,6/17/1960,4.21,94 ,6/22/1960,4.8,73 ,6/22/1960,5.06,69 ,6/23/1960,5.11,79 ,6/24/1960,5.21,89 ,6/24/1960,5.21,113 ,6/24/1960,5.21,141 ,6/24/1960,5.21,172 ,7/3/1960,5.460001,153 ,7/1/1960,5.76,141 ,7/1/1960,7.17,42 ,7/1/1960,7.43,41 ,7/3/1960,8.09,27 ,7/3/1960,8.35,27 ,7/3/1960,8.35,32 ,7/3/1960,8.35,37 ,7/5/1960,8.350001,40 ,7/7/1960,8.35,43 ,7/4/1960,8.350001,47 ,7/8/1960,8.35,57 ,7/3/1960,8.76,31 ,7/3/1960,8.76,40 ,7/3/1960,8.759999,54 ,7/3/1960,9.02,47 ,7/4/1960,9.02,62 ,7/4/1960,9.02,78 ,7/17/1960,9.330001,52 ,7/17/1960,9.59,55 ,7/18/1960,9.670001,65 ,7/18/1960,9.67,76 ,7/18/1960,9.670001,89 ,7/20/1960,9.670001,107 ,7/18/1960,9.670001,123 ,7/21/1960,9.67,143 ,7/17/1960,10,107 ,7/3/1960,10.13,110 ,7/3/1960,10.35,113 ,7/3/1960,10.36,130 ,7/3/1960,10.36,146 ,7/3/1960,10.43,164 ,7/17/1960,10.46,187 ,7/18/1960,10.54,205 ,7/17/1960,10.74,200 ,7/18/1960,10.82,214 ,7/18/1960,10.83,228 ,7/19/1960,10.83,251 ,7/3/1960,11.01,247 ,7/3/1960,11.08,264 ,7/4/1960,11.08,288 ,7/17/1960,11.37,250 ,7/17/1960,11.59,247 ,7/18/1960,11.67,254 ,,
1960,4/25/1961,1.82,51 ,4/26/1961,2.16,91 ,4/27/1961,2.16,177 ,4/28/1961,2.45,182 ,4/26/1961,2.66,203 ,4/27/1961,2.66,290 ,4/28/1961,2.95,254 ,4/28/1961,2.95,343 ,4/30/1961,2.95,454 ,4/25/1961,4.27,117 ,4/26/1961,4.61,104 ,4/26/1961,4.61,128 ,4/28/1961,4.9,129 ,4/29/1961,4.9,161 ,4/28/1961,4.9,196 ,4/28/1961,5.05,206 ,4/28/1961,5.06,243 ,4/29/1961,5.06,291 ,5/1/1961,5.17,316 ,5/1/1961,5.18,368 ,5/6/1961,5.42,335 ,5/7/1961,5.43,394 ,5/7/1961,5.43,468 ,5/9/1961,6.18,294 ,5/9/1961,6.18,349 ,5/11/1961,6.18,410 ,5/9/1961,6.33,407 ,5/9/1961,6.34,457 ,5/10/1961,6.340001,518 ,5/15/1961,6.360001,577 ,5/16/1961,6.36,656 ,5/17/1961,6.36,727 ,5/15/1961,6.51,737 ,5/15/1961,6.52,809 ,5/15/1961,6.52,906 ,5/15/1961,6.52,995 ,9/24/1961,6.64,1016 ,9/25/1961,6.960001,899 ,9/26/1961,6.970001,990 ,9/27/1961,6.97,1094 ,9/28/1961,7.05,1136 ,9/29/1961,7.05,1251 ,9/28/1961,7.050001,1365 ,9/4/1961,7.18,1371 ,9/5/1961,7.28,1408 ,9/6/1961,7.279999,1524 ,6/1/1961,8.58,681 ,6/1/1961,8.58,756 ,6/3/1961,8.690001,752 ,6/1/1961,8.73,804 ,6/1/1961,8.740002,867 ,6/3/1961,8.840001,855 ,6/3/1961,8.85,941 ,6/3/1961,8.85,1023 ,6/9/1961,9.150001,906 ,6/10/1961,9.150001,987 ,6/11/1961,9.48,860 ,6/12/1961,9.490001,934 ,6/13/1961,9.54,984 ,6/11/1961,9.629999,997 ,,
1961,9/14/1962,1.58,94 ,9/15/1962,1.58,291 ,11/16/1961,2.4,119 ,11/16/1961,2.41,192 ,11/17/1961,2.41,291 ,11/17/1961,2.41,419 ,11/18/1961,2.41,586 ,11/20/1961,2.41,790 ,9/17/1962,2.56,817 ,11/23/1961,2.73,832 ,7/3/1962,2.88,867 ,6/23/1962,3.01,905 ,6/23/1962,3.12,972 ,6/23/1962,3.46,765 ,7/3/1962,3.58,806 ,7/3/1962,3.82,740 ,7/3/1962,3.82,887 ,7/4/1962,3.82,1049 ,7/5/1962,3.82,1229 ,7/8/1962,3.85,1412 ,7/8/1962,4.09,1325 ,7/3/1962,4.84,707 ,7/3/1962,4.95,730 ,7/3/1962,5.29,626 ,7/3/1962,5.289999,731 ,7/5/1962,5.29,839 ,7/3/1962,5.29,959 ,7/3/1962,5.33,1030 ,7/3/1962,5.58,955 ,7/3/1962,5.68,1020 ,7/12/1962,5.73,1115 ,7/12/1962,5.839999,1150 ,7/12/1962,6.18,984 ,7/13/1962,6.18,1102 ,7/14/1962,6.22,1161 ,7/23/1962,6.299999,1213 ,7/23/1962,6.3,1347 ,7/12/1962,6.47,1284 ,7/12/1962,6.57,1320 ,7/21/1962,6.789999,1253 ,7/22/1962,7.029999,1166 ,7/23/1962,7.319999,1047 ,7/22/1962,7.48,1050 ,7/23/1962,7.77,966 ,7/23/1962,7.77,1068 ,7/25/1962,7.8,1147 ,7/26/1962,7.799999,1252 ,7/23/1962,7.809999,1342 ,7/23/1962,8.059999,1224 ,7/23/1962,8.16,1247 ,7/23/1962,8.159999,1353 ,7/25/1962,8.19,1435 ,7/26/1962,8.19,1536 ,7/26/1962,8.19,1653 ,7/29/1962,8.219999,1755 ,8/6/1962,8.619999,1483 ,8/6/1962,8.73,1490 ,8/6/1962,9.07,1239 ,8/7/1962,9.07,1352 ,8/7/1962,9.07,1448 ,,
1962,7/14/1963,1.26,197 ,7/15/1963,1.26,537 ,6/9/1963,1.35,813 ,6/10/1963,1.35,1269 ,4/23/1963,1.68,1048 ,4/23/1963,1.88,1053 ,4/24/1963,1.88,1415 ,4/23/1963,1.88,1833 ,4/26/1963,1.88,2298 ,5/18/1963,2.05,2236 ,5/18/1963,2.05,2736 ,4/30/1963,2.46,1890 ,4/30/1963,2.66,1762 ,4/30/1963,2.66,2120 ,4/30/1963,2.66,2517 ,5/4/1963,2.78,2585 ,5/4/1963,2.98,2389 ,5/10/1963,3.09,2468 ,5/10/1963,3.09,2843 ,5/18/1963,3.15,3079 ,5/13/1963,3.41,2591 ,5/10/1963,3.93,1769 ,5/10/1963,4.13,1700 ,5/10/1963,4.13,1935 ,5/13/1963,4.25,1980 ,5/13/1963,4.45,1871 ,5/14/1963,4.45,2097 ,5/13/1963,4.45,2333 ,5/13/1963,4.45,2591 ,5/18/1963,4.829999,2113 ,5/18/1963,5.03,1998 ,5/19/1963,5.03,2208 ,5/18/1963,5.03,2438 ,5/20/1963,5.03,2662 ,5/20/1963,5.03,2909 ,5/18/1963,5.03,3175 ,5/23/1963,5.03,3446 ,5/21/1963,5.03,3728 ,5/18/1963,5.03,4018 ,5/28/1963,5.07,4234 ,5/28/1963,5.27,4037 ,5/29/1963,5.27,4323 ,5/28/1963,5.27,4620 ,5/31/1963,5.27,4925 ,5/29/1963,5.27,5242 ,6/2/1963,5.27,5561 ,5/28/1963,5.27,5887 ,6/9/1963,5.58,5322 ,6/9/1963,5.58,5631 ,6/7/1963,6.03,4648 ,6/7/1963,6.23,4392 ,6/9/1963,6.42,4184 ,6/9/1963,6.619999,3881 ,6/9/1963,6.62,4153 ,6/10/1963,6.62,4414 ,6/11/1963,6.619999,4725 ,6/13/1963,6.66,4910 ,6/13/1963,6.659999,5223 ,6/13/1963,6.66,5524 ,6/13/1963,6.66,5821 ,,
1963,6/7/1964,1.39,142 ,4/3/1964,2.43,56 ,4/4/1964,2.43,111 ,4/3/1964,2.43,183 ,4/6/1964,2.69,197 ,4/6/1964,2.69,279 ,4/8/1964,2.74,347 ,4/9/1964,2.74,471 ,4/3/1964,3.15,360 ,4/3/1964,3.19,447 ,4/4/1964,3.19,558 ,4/6/1964,3.41,553 ,4/6/1964,3.45,637 ,4/8/1964,3.46,761 ,4/8/1964,3.5,900 ,4/10/1964,3.51,1057 ,5/13/1964,3.58,1145 ,5/14/1964,3.67,1238 ,5/15/1964,3.67,1452 ,5/16/1964,3.94,1309 ,5/17/1964,3.94,1509 ,5/16/1964,3.94,1754 ,5/13/1964,4.17,1654 ,5/14/1964,4.26,1738 ,5/15/1964,4.26,1968 ,5/16/1964,4.53,1729 ,4/3/1964,4.63,1809 ,4/29/1964,4.849999,1664 ,4/30/1964,5.23,1334 ,4/30/1964,5.23,1500 ,5/1/1964,5.23,1681 ,5/3/1964,5.23,1872 ,5/1/1964,5.23,2094 ,4/30/1964,5.46,1894 ,4/29/1964,5.57,1925 ,4/30/1964,5.95,1619 ,5/8/1964,6.58,1066 ,5/9/1964,6.580001,1176 ,5/10/1964,6.58,1309 ,5/9/1964,6.580001,1430 ,5/9/1964,6.58,1576 ,5/13/1964,7.130001,1185 ,5/14/1964,7.220001,1231 ,5/8/1964,7.299999,1278 ,5/16/1964,7.490001,1250 ,5/17/1964,7.490001,1356 ,5/18/1964,7.490001,1468 ,5/19/1964,7.490001,1592 ,5/13/1964,7.85,1399 ,5/14/1964,7.940001,1425 ,5/14/1964,7.98,1511 ,5/16/1964,8.210001,1416 ,5/16/1964,8.250001,1473 ,5/16/1964,8.25,1586 ,5/17/1964,8.25,1705 ,5/19/1964,8.25,1839 ,5/16/1964,8.360001,1839 ,5/16/1964,8.360001,1956 ,5/17/1964,8.36,2090 ,5/17/1964,8.360001,2227 ,,
1964,6/2/1965,1.43,130 ,6/3/1965,1.64,260 ,8/27/1965,1.9,293 ,8/28/1965,1.97,417 ,8/28/1965,1.97,617 ,8/31/1965,2.28,526 ,8/31/1965,2.55,457 ,9/2/1965,2.8,426 ,9/2/1965,3.07,406 ,9/2/1965,3.07,530 ,9/4/1965,3.07,674 ,9/2/1965,3.07,837 ,9/3/1965,3.07,1038 ,9/4/1965,3.07,1260 ,8/31/1965,3.6,778 ,9/1/1965,3.7,837 ,9/2/1965,4.12,674 ,9/2/1965,4.12,800 ,9/2/1965,4.12,940 ,9/5/1965,4.12,1092 ,9/6/1965,4.119999,1289 ,9/7/1965,4.12,1483 ,9/6/1965,4.119999,1712 ,9/9/1965,4.26,1736 ,9/10/1965,4.54,1509 ,9/10/1965,4.54,1713 ,9/11/1965,4.54,1923 ,9/11/1965,4.539999,2158 ,9/11/1965,4.54,2393 ,9/15/1965,5.09,1697 ,9/16/1965,5.09,1893 ,9/15/1965,5.09,2092 ,9/18/1965,5.09,2295 ,9/15/1965,5.09,2532 ,9/20/1965,5.09,2760 ,9/16/1965,5.09,3034 ,9/22/1965,5.41,2653 ,9/23/1965,5.48,2759 ,9/24/1965,5.48,3011 ,9/15/1965,5.49,3272 ,9/15/1965,5.49,3545 ,9/17/1965,5.49,3814 ,9/17/1965,5.49,4110 ,9/22/1965,5.54,4251 ,9/30/1965,5.65,4248 ,9/30/1965,5.65,4530 ,9/22/1965,5.81,4320 ,9/23/1965,5.88,4432 ,9/23/1965,5.88,4730 ,9/23/1965,5.88,5037 ,9/23/1965,5.88,5358 ,9/24/1965,5.88,5667 ,9/23/1965,5.950001,5735 ,9/23/1965,6.000001,5906 ,9/30/1965,6.050001,6037 ,9/30/1965,6.05,6351 ,9/22/1965,6.06,6636 ,9/23/1965,6.13,6735 ,9/23/1965,6.13,7036 ,9/23/1965,6.130001,7309 ,,
1965,5/12/1966,1.68,70 ,5/12/1966,1.72,222 ,10/22/1965,1.99,238 ,10/23/1965,2.09,323 ,10/23/1965,2.09,488 ,8/16/1966,2.16,639 ,8/16/1966,2.32,685 ,8/16/1966,2.38,841 ,6/17/1966,2.38,1084 ,6/18/1966,2.38,1370 ,6/17/1966,2.38,1693 ,8/22/1966,2.86,1114 ,8/22/1966,3.02,1101 ,8/22/1966,3.08,1232 ,8/22/1966,3.08,1496 ,8/24/1966,3.08,1791 ,8/24/1966,3.08,2118 ,8/23/1966,3.08,2474 ,9/3/1966,3.41,1930 ,9/3/1966,3.41,2237 ,9/3/1966,3.57,2157 ,9/4/1966,3.57,2469 ,5/12/1966,3.66,2594 ,9/3/1966,4.3,1650 ,9/3/1966,4.46,1624 ,9/3/1966,4.52,1752 ,9/3/1966,4.52,1973 ,9/3/1966,4.52,2190 ,9/6/1966,4.52,2433 ,9/5/1966,4.52,2681 ,9/6/1966,4.52,2945 ,9/3/1966,4.52,3226 ,9/3/1966,4.77,2921 ,9/3/1966,4.77,3193 ,9/5/1966,4.77,3499 ,9/5/1966,4.77,3809 ,9/5/1966,4.77,4133 ,9/3/1966,4.800001,4336 ,9/3/1966,5.05,3973 ,9/3/1966,5.05,4284 ,9/5/1966,5.05,4571 ,9/4/1966,5.050001,4873 ,9/7/1966,5.050001,5188 ,9/6/1966,5.05,5520 ,9/23/1966,5.14,5614 ,9/23/1966,5.2,5768 ,9/24/1966,5.2,6093 ,9/25/1966,5.2,6432 ,9/24/1966,5.2,6770 ,9/29/1966,5.44,6336 ,9/29/1966,5.6,6175 ,5/12/1966,5.84,5775 ,5/12/1966,5.84,6079 ,5/12/1966,5.84,6420 ,5/12/1966,6.029999,6149 ,5/12/1966,6.09,6259 ,9/3/1966,6.11,6499 ,9/3/1966,6.11,6794 ,6/16/1966,6.139999,7018 ,6/16/1966,6.460001,6398 ,,
1966,6/29/1967,1.78,53 ,7/19/1967,2.33,69 ,12/8/1966,2.43,110 ,12/8/1966,2.7,125 ,12/10/1966,3.24,86 ,12/10/1966,3.51,86 ,12/11/1966,3.54,117 ,12/11/1966,3.54,171 ,12/13/1966,3.54,234 ,12/11/1966,3.55,298 ,12/12/1966,3.55,372 ,12/10/1966,3.87,322 ,12/10/1966,3.94,380 ,12/10/1966,4.3,287 ,12/11/1966,4.33,341 ,12/10/1966,4.47,365 ,12/11/1966,4.5,433 ,12/11/1966,4.5,516 ,12/13/1966,4.5,599 ,12/14/1966,4.5,705 ,7/19/1967,4.64,738 ,6/29/1967,5.14,548 ,6/29/1967,5.84,317 ,6/30/1967,6.140001,301 ,6/30/1967,6.2,336 ,7/1/1967,6.2,391 ,7/3/1967,6.31,411 ,7/3/1967,6.37,445 ,7/4/1967,6.37,508 ,7/4/1967,6.37,570 ,7/5/1967,6.37,645 ,7/6/1967,6.370001,713 ,7/8/1967,6.37,804 ,7/19/1967,6.86,637 ,7/20/1967,6.86,711 ,7/19/1967,6.86,793 ,7/21/1967,6.86,874 ,7/21/1967,6.86,959 ,7/19/1967,6.99,982 ,7/19/1967,7.04,1044 ,7/19/1967,7.09,1094 ,7/19/1967,8,662 ,7/19/1967,8.700001,401 ,7/19/1967,8.76,435 ,7/20/1967,8.76,480 ,7/21/1967,8.76,533 ,7/22/1967,8.760001,586 ,7/22/1967,8.759999,650 ,7/21/1967,8.760001,704 ,7/22/1967,8.76,776 ,7/26/1967,8.760001,841 ,7/28/1967,8.77,923 ,7/28/1967,8.83,960 ,7/28/1967,8.830001,1034 ,7/31/1967,9.450001,741 ,8/1/1967,9.619999,720 ,8/1/1967,9.679999,753 ,8/1/1967,9.68,819 ,8/2/1967,9.68,891 ,8/1/1967,9.68,964 ,,
